id,microserviceName,URI,connectionTypes,duplicate,creationTime,pattern,role,connections
0,LoadBalancingService0,http://localhost:9010/api/LoadBalancingService0,GET ,false,0,LoadBalanceing,LoadBalancingService,POST http://localhost:9011/api/ProviderService0 PUT http://localhost:9011/api/ProviderService0 GET http://localhost:9011/api/ProviderService0 POST http://localhost:9012/api/ProviderService1 PUT http://localhost:9012/api/ProviderService1 GET http://localhost:9012/api/ProviderService1 
1,ProviderService0,http://localhost:9011/api/ProviderService0,POST PUT GET ,false,1,LoadBalanceing,ProviderService,
2,ProviderService1,http://localhost:9012/api/ProviderService1,POST PUT GET ,false,2,LoadBalanceing,ProviderService,
3,LoadBalancingService1,http://localhost:9013/api/LoadBalancingService1,GET ,false,3,LoadBalanceing,LoadBalancingService,POST http://localhost:9014/api/ProviderService2 PUT http://localhost:9014/api/ProviderService2 GET http://localhost:9014/api/ProviderService2 POST http://localhost:9015/api/ProviderService3 PUT http://localhost:9015/api/ProviderService3 GET http://localhost:9015/api/ProviderService3 POST http://localhost:9016/api/ProviderService4 PUT http://localhost:9016/api/ProviderService4 GET http://localhost:9016/api/ProviderService4 POST http://localhost:9017/api/ProviderService5 PUT http://localhost:9017/api/ProviderService5 GET http://localhost:9017/api/ProviderService5 POST http://localhost:9018/api/ProviderService6 PUT http://localhost:9018/api/ProviderService6 GET http://localhost:9018/api/ProviderService6 
4,ProviderService2,http://localhost:9014/api/ProviderService2,POST PUT GET ,false,4,LoadBalanceing,ProviderService,
5,ProviderService3,http://localhost:9015/api/ProviderService3,POST PUT GET ,false,5,LoadBalanceing,ProviderService,
6,ProviderService4,http://localhost:9016/api/ProviderService4,POST PUT GET ,false,6,LoadBalanceing,ProviderService,
7,ProviderService5,http://localhost:9017/api/ProviderService5,POST PUT GET ,false,7,LoadBalanceing,ProviderService,
8,ProviderService6,http://localhost:9018/api/ProviderService6,POST PUT GET ,false,8,LoadBalanceing,ProviderService,
9,LoadBalancingService2,http://localhost:9019/api/LoadBalancingService2,GET ,false,9,LoadBalanceing,LoadBalancingService,POST http://localhost:9020/api/ProviderService7 PUT http://localhost:9020/api/ProviderService7 GET http://localhost:9020/api/ProviderService7 POST http://localhost:9021/api/ProviderService8 PUT http://localhost:9021/api/ProviderService8 GET http://localhost:9021/api/ProviderService8 POST http://localhost:9022/api/ProviderService9 PUT http://localhost:9022/api/ProviderService9 GET http://localhost:9022/api/ProviderService9 POST http://localhost:9023/api/ProviderService10 PUT http://localhost:9023/api/ProviderService10 GET http://localhost:9023/api/ProviderService10 
10,ProviderService7,http://localhost:9020/api/ProviderService7,POST PUT GET ,false,10,LoadBalanceing,ProviderService,
11,ProviderService8,http://localhost:9021/api/ProviderService8,POST PUT GET ,false,11,LoadBalanceing,ProviderService,
12,ProviderService9,http://localhost:9022/api/ProviderService9,POST PUT GET ,false,12,LoadBalanceing,ProviderService,
13,ProviderService10,http://localhost:9023/api/ProviderService10,POST PUT GET ,false,13,LoadBalanceing,ProviderService,
14,DispatcherService0,http://localhost:9024/api/DispatcherService0,POST ,false,14,PriorityQueue,DispatcherService,POST http://localhost:9028/api/ExternalService0 PUT http://localhost:9028/api/ExternalService0 GET http://localhost:9028/api/ExternalService0 DELETE http://localhost:9028/api/ExternalService0 
15,ClientService0,http://localhost:9025/api/ClientService0,,false,15,PriorityQueue,ClientService,POST http://localhost:9024/api/DispatcherService0 PUT http://localhost:9024/api/DispatcherService0 GET http://localhost:9024/api/DispatcherService0 DELETE http://localhost:9024/api/DispatcherService0 
16,ClientService1,http://localhost:9026/api/ClientService1,,false,16,PriorityQueue,ClientService,POST http://localhost:9024/api/DispatcherService0 PUT http://localhost:9024/api/DispatcherService0 GET http://localhost:9024/api/DispatcherService0 DELETE http://localhost:9024/api/DispatcherService0 
17,ClientService2,http://localhost:9027/api/ClientService2,,false,17,PriorityQueue,ClientService,POST http://localhost:9024/api/DispatcherService0 PUT http://localhost:9024/api/DispatcherService0 GET http://localhost:9024/api/DispatcherService0 DELETE http://localhost:9024/api/DispatcherService0 
18,ExternalService0,http://localhost:9028/api/ExternalService0,POST ,false,18,PriorityQueue,ExternalService,
19,DispatcherService1,http://localhost:9029/api/DispatcherService1,POST ,false,19,PriorityQueue,DispatcherService,POST http://localhost:9035/api/ExternalService1 PUT http://localhost:9035/api/ExternalService1 GET http://localhost:9035/api/ExternalService1 DELETE http://localhost:9035/api/ExternalService1 POST http://localhost:9036/api/ExternalService2 PUT http://localhost:9036/api/ExternalService2 GET http://localhost:9036/api/ExternalService2 DELETE http://localhost:9036/api/ExternalService2 
20,ClientService3,http://localhost:9030/api/ClientService3,,false,20,PriorityQueue,ClientService,POST http://localhost:9029/api/DispatcherService1 PUT http://localhost:9029/api/DispatcherService1 GET http://localhost:9029/api/DispatcherService1 DELETE http://localhost:9029/api/DispatcherService1 
21,ClientService4,http://localhost:9031/api/ClientService4,,false,21,PriorityQueue,ClientService,POST http://localhost:9029/api/DispatcherService1 PUT http://localhost:9029/api/DispatcherService1 GET http://localhost:9029/api/DispatcherService1 DELETE http://localhost:9029/api/DispatcherService1 
22,ClientService5,http://localhost:9032/api/ClientService5,,false,22,PriorityQueue,ClientService,POST http://localhost:9029/api/DispatcherService1 PUT http://localhost:9029/api/DispatcherService1 GET http://localhost:9029/api/DispatcherService1 DELETE http://localhost:9029/api/DispatcherService1 
23,ClientService6,http://localhost:9033/api/ClientService6,,false,23,PriorityQueue,ClientService,POST http://localhost:9029/api/DispatcherService1 PUT http://localhost:9029/api/DispatcherService1 GET http://localhost:9029/api/DispatcherService1 DELETE http://localhost:9029/api/DispatcherService1 
24,ClientService7,http://localhost:9034/api/ClientService7,,false,24,PriorityQueue,ClientService,POST http://localhost:9029/api/DispatcherService1 PUT http://localhost:9029/api/DispatcherService1 GET http://localhost:9029/api/DispatcherService1 DELETE http://localhost:9029/api/DispatcherService1 
25,ExternalService1,http://localhost:9035/api/ExternalService1,POST ,false,25,PriorityQueue,ExternalService,
26,ExternalService2,http://localhost:9036/api/ExternalService2,POST ,false,26,PriorityQueue,ExternalService,
27,DispatcherService2,http://localhost:9037/api/DispatcherService2,POST ,false,27,PriorityQueue,DispatcherService,POST http://localhost:9041/api/ExternalService3 PUT http://localhost:9041/api/ExternalService3 GET http://localhost:9041/api/ExternalService3 DELETE http://localhost:9041/api/ExternalService3 
28,ClientService8,http://localhost:9038/api/ClientService8,,false,28,PriorityQueue,ClientService,POST http://localhost:9037/api/DispatcherService2 PUT http://localhost:9037/api/DispatcherService2 GET http://localhost:9037/api/DispatcherService2 DELETE http://localhost:9037/api/DispatcherService2 
29,ClientService9,http://localhost:9039/api/ClientService9,,false,29,PriorityQueue,ClientService,POST http://localhost:9037/api/DispatcherService2 PUT http://localhost:9037/api/DispatcherService2 GET http://localhost:9037/api/DispatcherService2 DELETE http://localhost:9037/api/DispatcherService2 
30,ClientService10,http://localhost:9040/api/ClientService10,,false,30,PriorityQueue,ClientService,POST http://localhost:9037/api/DispatcherService2 PUT http://localhost:9037/api/DispatcherService2 GET http://localhost:9037/api/DispatcherService2 DELETE http://localhost:9037/api/DispatcherService2 
31,ExternalService3,http://localhost:9041/api/ExternalService3,POST ,false,31,PriorityQueue,ExternalService,
32,Cache0,http://localhost:9042/api/Cache0,POST GET PUT DELETE ,false,32,CacheASide,Cache,
33,Client0,http://localhost:9043/api/Client0,,false,33,CacheASide,Client,POST http://localhost:9042/api/Cache0 GET http://localhost:9042/api/Cache0 PUT http://localhost:9042/api/Cache0 DELETE http://localhost:9042/api/Cache0 
34,Client1,http://localhost:9044/api/Client1,,false,34,CacheASide,Client,POST http://localhost:9042/api/Cache0 GET http://localhost:9042/api/Cache0 PUT http://localhost:9042/api/Cache0 DELETE http://localhost:9042/api/Cache0 
35,Client2,http://localhost:9045/api/Client2,,false,35,CacheASide,Client,POST http://localhost:9042/api/Cache0 GET http://localhost:9042/api/Cache0 PUT http://localhost:9042/api/Cache0 DELETE http://localhost:9042/api/Cache0 
36,Cache1,http://localhost:9046/api/Cache1,POST GET PUT DELETE ,false,36,CacheASide,Cache,
37,Client3,http://localhost:9047/api/Client3,,false,37,CacheASide,Client,POST http://localhost:9046/api/Cache1 GET http://localhost:9046/api/Cache1 PUT http://localhost:9046/api/Cache1 DELETE http://localhost:9046/api/Cache1 
38,Client4,http://localhost:9048/api/Client4,,false,38,CacheASide,Client,POST http://localhost:9046/api/Cache1 GET http://localhost:9046/api/Cache1 PUT http://localhost:9046/api/Cache1 DELETE http://localhost:9046/api/Cache1 
39,Cache2,http://localhost:9049/api/Cache2,POST GET PUT DELETE ,false,39,CacheASide,Cache,
40,Client5,http://localhost:9050/api/Client5,,false,40,CacheASide,Client,POST http://localhost:9049/api/Cache2 GET http://localhost:9049/api/Cache2 PUT http://localhost:9049/api/Cache2 DELETE http://localhost:9049/api/Cache2 
41,Client6,http://localhost:9051/api/Client6,,false,41,CacheASide,Client,POST http://localhost:9049/api/Cache2 GET http://localhost:9049/api/Cache2 PUT http://localhost:9049/api/Cache2 DELETE http://localhost:9049/api/Cache2 
42,Client7,http://localhost:9052/api/Client7,,false,42,CacheASide,Client,POST http://localhost:9049/api/Cache2 GET http://localhost:9049/api/Cache2 PUT http://localhost:9049/api/Cache2 DELETE http://localhost:9049/api/Cache2 
43,Client8,http://localhost:9053/api/Client8,,false,43,CacheASide,Client,POST http://localhost:9049/api/Cache2 GET http://localhost:9049/api/Cache2 PUT http://localhost:9049/api/Cache2 DELETE http://localhost:9049/api/Cache2 
44,Client9,http://localhost:9054/api/Client9,,false,44,CacheASide,Client,POST http://localhost:9049/api/Cache2 GET http://localhost:9049/api/Cache2 PUT http://localhost:9049/api/Cache2 DELETE http://localhost:9049/api/Cache2 
45,Leader0,http://localhost:9055/api/Leader0,GET PUT ,false,45,LeaderElection,Leader,
46,Client0,http://localhost:9056/api/Client0,GET PUT ,false,46,LeaderElection,Client,GET http://localhost:9055/api/Leader0 PUT http://localhost:9055/api/Leader0 
47,Client1,http://localhost:9057/api/Client1,GET PUT ,false,47,LeaderElection,Client,GET http://localhost:9055/api/Leader0 PUT http://localhost:9055/api/Leader0 
48,Client2,http://localhost:9058/api/Client2,GET PUT ,false,48,LeaderElection,Client,GET http://localhost:9055/api/Leader0 PUT http://localhost:9055/api/Leader0 
49,Client3,http://localhost:9059/api/Client3,GET PUT ,false,49,LeaderElection,Client,GET http://localhost:9055/api/Leader0 PUT http://localhost:9055/api/Leader0 
50,Client4,http://localhost:9060/api/Client4,GET PUT ,false,50,LeaderElection,Client,GET http://localhost:9055/api/Leader0 PUT http://localhost:9055/api/Leader0 
51,Client5,http://localhost:9061/api/Client5,GET PUT ,false,51,LeaderElection,Client,GET http://localhost:9055/api/Leader0 PUT http://localhost:9055/api/Leader0 
52,Leader1,http://localhost:9062/api/Leader1,GET PUT ,false,52,LeaderElection,Leader,
